"SeaWorld Entertainment Inc."
Intuit Inc.
Nuveen Massachusetts Municipal Income Fund
PowerShares DWA Energy Momentum Prtf.
First Trust Nasdaq Retail ETF
Annaly Capital Management Inc
Pacific Drilling S.A.
Huntington Bancshares Inc.
Scientific Games Corp
"U.S. Global Investors Inc."
Vanguard Russell 1000 Value ETF
"Overstock.com Inc."
ManpowerGroup
"United Dominion Realty Trust Inc."
"Liquidity Services Inc."
Unilever NV
"Pain Therapeutics Inc."
Monmouth Real Estate Investment Corp.
"The Finish Line Inc."
Bank of America Corp.
Horizon Technology Finance Corp.
Criteo S.A.
iShares S&P Emerging Markets Infra Index Fund
Allegheny Technologies Inc.
"Diamond Hill Investment Group Inc."
"Uranium Resources Inc."
IRIDEX Corp.
Merus N.V.
Arbor Realty Trust
"Kite Pharma Inc."
"Schnitzer Steel Industries Inc."
"TCW Strategic Income Fund Inc."
Concordia Int. Corp.
"Net 1 UEPS Technologies Inc."
"Wellesley Bancorp Inc."
SodaStream Int. Ltd.
"21Vianet Group Inc."
Navios Maritime Midstream Partners LP
"Retail Properties of America Inc."
"HopFed Bancorp Inc."
"Boston Properties Inc."
Adaptimmune Therapeutics plc
"Sunworks Inc."
Standex Int. Corp.
"Telephone and Data Systems Inc."
"Axcelis Technologies Inc."
"Ebix Inc."
Mercury General Corp.
"Endologix Inc."
RGC Resources Inc.
"CryoLife Inc."
"First Bancorp Inc (ME)"
Wells Fargo & Company
Nokia Corp.
"A-Mark Precious Metals Inc."
"Axon Enterprise Inc."
Mississippi Power Company
"Chanticleer Holdings Inc."
John Bean Technologies Corp.
"Pixelworks Inc."
"Blackrock MuniYield Qlty Fund II Inc."
Invesco Municipal Opportunity Trust
Invesco High Income Trust II
AllianceBernstein Holding L.P.
Ashford Hospitality Trust Inc
"AmTrust Financial Services Inc."
Synchrony Financial
"Endurance Int. Group Holdings Inc."
iShares 20+ Year Treasury Bond ETF
Immuron Limited
Ferro Corp.
"Five Point Holdings LLC"
Tejon Ranch Co
"EMCOR Group Inc."
"Alnylam Pharmaceuticals Inc."
Pebblebrook Hotel Trust
Stellar Acquisition III Inc.
"Pfizer Inc."
Ethan Allen Interiors Inc.
General Electric Capital Corp.
"Washington Federal Inc."
"S&T Bancorp Inc."
First Trust Europe AlphaDEX Fund
Neonode Inc.
PPlus Trust
"Digital Realty Trust Inc."
Esterline Technologies Corp.
CyberArk Software Ltd.
"GoPro Inc."
Wells Fargo & Company
Semiconductor  Manufacturing Int. Corp.
China New Borun Corp.
"Provident Financial Services Inc"
Golar LNG Partners LP
Peoples Bancorp Inc.
"Enova Int. Inc."
Annaly Capital Management Inc
"The Bon-Ton Stores Inc."
Village Bank and Trust Financial Corp.
"Forterra Inc."
"Pacific Ethanol Inc."
FinTech Acquisition Corp. II
AZZ Inc.
"Synthesis Energy Systems Inc."
"Sonic Foundry Inc."
Intelsat S.A.
Public Storage
Kilroy Realty Corp.
Essent Group Ltd.
Lonestar Resources US Inc.
"Immunomedics Inc."
SpartanNash Company
"Epizyme Inc."
Acadia Realty Trust
Petroquest Energy Inc
Nicolet Bankshares Inc.
"New York REIT Inc."
Westmoreland Coal Company
PowerShares Dividend Achievers Prtf.
"BancorpSouth Inc."
"Beasley Broadcast Group Inc."
RenaissanceRe Holdings Ltd.
"Helix Energy Solutions Group Inc."
SpartanNash Company
Aspen Insurance Holdings Limited
PowerShares Golden Dragon China Prtf.
Dynegy Inc.
"Ulta Beauty Inc."
Masonite Int. Corp.
"Amkor Technology Inc."
IRSA Inversiones Y Representaciones S.A.
"Penumbra Inc."
Compass Diversified Holdings
Emerson Electric Company
"Viking Therapeutics Inc."
"Colony NorthStar Inc."
"United Continental Holdings Inc."
Barington/Hilco Acquisition Corp.
Stepan Company
OncoGenex Pharmaceuticals Inc.
"Perfumania Holdings Inc"
GasLog LP.
Lianluo Smart Limited
EnteroMedics Inc.
Boyd Gaming Corp.
"One Liberty Properties Inc."
E.I. du Pont de Nemours and Company
FedEx Corp.
"Ionis Pharmaceuticals Inc."
Prospect Capital Corp.
Boulevard Acquisition Corp. II
Euro Tech Holdings Company Limited
"Cellectar Biosciences Inc."
Ralph Lauren Corp.
Lexington Realty Trust
General Finance Corp.
Suncor Energy  Inc.
Comerica Inc.
"Supernus Pharmaceuticals Inc."
"First Business Financial Services Inc."
"Kimball Int. Inc."
Central Garden & Pet Company
Validea Market Legends ETF
"Omnicell Inc."
"Photronics Inc."
"Discovery Communications Inc."
Gladstone Commercial Corp.
TEGNA Inc.
"Salem Media Group Inc."
Abbott Laboratories
El Paso Electric Company
"Profire Energy Inc."
Harvest Capital Credit Corp.
"SuperCom Ltd."
F.N.B. Corp.
Centrais Electricas Brasileiras S.A.- Eletrobras
ArcelorMittal
"EQT Midstream Partners LP"
Student Transportation Inc
PowerShares DWA Tactical Sector Rotation Prtf.
Globus Maritime Limited
"CGI Group Inc."
"Mannatech Inc."
Wix.com Ltd.
"THL Credit Inc."
MDC Partners Inc.
"Grand Canyon Education Inc."
"Connecticut Water Service Inc."
Signature Bank
"LogMein Inc."
"The Ensign Group Inc."
"Provident Financial Services Inc"
Hersha Hospitality Trust
iShares Core MSCI Total Int. Stock ETF
"Powell Industries Inc."
Cinedigm Corp
"Alon USA Partners LP"
Omeros Corp.
WisdomTree Middle East Dividend Fund
Medley LLC
HSBC Holdings plc
First Internet Bancorp
Nordic American Offshore Ltd
"WesBanco Inc."
"TerraVia Holdings Inc."
Allergan plc.
Arbor Realty Trust
"NRG Energy Inc."
"Sanderson Farms Inc."
"Summit Financial Group Inc."
"Customers Bancorp Inc"
M&T Bank Corp.
Caesarstone Ltd.
Aercap Holdings N.V.
iStar Financial Inc.
FinTech Acquisition Corp. II
"YRC Worldwide Inc."
China Petroleum & Chemical Corp.
Blackrock Florida Municipal 2020 Term Trust
Zix Corp.
WisdomTree Emerging Markets Corp Bond Fund
"Continental Building Products Inc."
CONMED Corp.
TCF Financial Corp.
Nuveen AMT-Free Municipal Value Fund
"Peoples Bancorp of North Carolina Inc."
"Lithia Motors Inc."
"ZAIS Group Holdings Inc."
"Lithia Motors Inc."
"XG Technology Inc"
National Instruments Corp.
Verint Systems Inc.
Baker Hughes Inc.
Ivy NextShares
"Natural Grocers by Vitamin Cottage Inc."
"Thermon Group Holdings Inc."
"Inogen Inc"
"Opexa Therapeutics Inc."
Unilever PLC
"Mattel Inc."
Cardiome Pharma Corp.
"PRA Group Inc."
"Blackrock MuniYield Qlty Fund II Inc."
Artesian Resources Corp.
CVR Energy Inc.
Lannett Co Inc
USG Corp.
DaVita Inc.
Global Medical REIT Inc.
"UCP Inc."
Salient Midstream & MLP Fund
"Marinus Pharmaceuticals Inc."
"ILG Inc"
"InterDigital Inc."
"Mobile Mini Inc."
"CNO Financial Group Inc."
"China Lodging Group Limited"
Cloud Peak Energy Inc
"RiverNorth Opportunities Fund Inc."
"RadNet Inc."
Dow Chemical Company (The)
NutriSystem Inc
People&#39;s Utah Bancorp
"NCI Building Systems Inc."
"Codorus Valley Bancorp Inc"
Stellus Capital Investment Corp.
"Entergy Louisiana Inc."
"Dupont Fabros Technology Inc."
E.W. Scripps Company (The)
Ares Capital Corp.
"Penske Automotive Group Inc."
Fuling Global Inc.
180 Degree Capital Corp.
Azul S.A.
Western Asset Emerging Markets Debt Fund Inc
"Spartan Motors Inc."
Check-Cap Ltd.
Arbor Realty Trust
Mobile TeleSystems OJSC
Markel Corp.
"Red Hat Inc."
MutualFirst Financial Inc.
"U.S. Auto Parts Network Inc."
LKQ Corp.
Gentex Corp.
MER Telemanagement Solutions Ltd.
W.R. Berkley Corp.
"Citrix Systems Inc."
"BofI Holding Inc."
Invesco Trust for Investment Grade Municipals
"CGI Group Inc."
"Rand Logistics Inc."
United States Cellular Corp.
Service Corp. Int.
Senior Housing Properties Trust
Optical Cable Corp.
"Donegal Group Inc."
"ICC Holdings Inc."
"Spring Bank Pharmaceuticals Inc."
Chesapeake Lodging Trust
"Calix Inc"
Deere & Company
Deutsche Bank AG
"Boston Private Financial Holdings Inc."
Western Asset Municipal Defined Opportunity Trust Inc
iShares S&P Global Timber & Forestry Index Fund
Ohio Valley Banc Corp.
"NuVasive Inc."
"Net Element Inc."
PowerShares Global Water Prtf.
Peapack-Gladstone Financial Corp.
KKR & Co. L.P.
Exterran Corp.
"NuStar Logistics L.P."
Int. Speedway Corp.
Western Asset Global Corp Defined Opportunity Fund Inc.
Arlington Asset Investment Corp
First Trust Latin America AlphaDEX Fund
Mastercard Inc.
Lancaster Colony Corp.
Coca Cola Femsa S.A.B. de C.V.
Blue Bird Corp.
"TripAdvisor Inc."
Qualstar Corp.
Xcel Energy Inc.
Motif Bio plc
BiondVax Pharmaceuticals Ltd.
iShares S&P India Nifty 50 Index Fund
ClearSign Combustion Corp.
"Coach Inc."
McKesson Corp.
ESCO Technologies Inc.
"Pernix Therapeutics Holdings Inc."
"Asia Pacific Fund Inc. (The)"
First Data Corp.
NGL ENERGY PARTNERS LP
UBS AG
"Recon Technology Ltd."
Loews Corp.
Kemet Corp.
USG Corp.
WMIH Corp.
500.com Limited
"Comstock Holding Companies Inc."
"SB Financial Group Inc."
National Research Corp.
"bluebird bio Inc."
"Nuveen Municipal Income Fund Inc."
"Hibbett Sports Inc."
"Zoe&#39;s Kitchen Inc."
Twilio Inc.
Lifevantage Corp.
"AmTrust Financial Services Inc."
Callaway Golf Company
Global Medical REIT Inc.
Hovnanian Enterprises Inc
"Tableau Software Inc."
Oxford Lane Capital Corp.
Capital One Financial Corp.
Bank of America Corp.
"Summit Midstream Partners LP"
"Uni-Pixel Inc."
J P Morgan Chase & Co
Dynagas LNG Partners LP
Novanta Inc.
Guggenheim Enhanced Equity Income Fund
Federated Premier Municipal Income Fund
"Mueller Industries Inc."
American Homes 4 Rent
"e.l.f. Beauty Inc."
"TCW Strategic Income Fund Inc."
Colgate-Palmolive Company
"Cascadian Therapeutics Inc."
"Raymond James Financial Inc."
PowerShares KBW High Dividend Yield Financial Prtf.
Agrium Inc.
PowerShares Multi-Strategy Alternative Prtf.
BLDRS Europe 100 ADR Index Fund
Verint Systems Inc.
"Instructure Inc."
Vascular Biogenics Ltd.
WisdomTree Interest Rate Hedged High Yield Bond Fund
Costamare Inc.
"Watts Water Technologies Inc."
AU Optronics Corp
"Agilent Technologies Inc."
LSI Industries Inc.
"Meridian Waste Solutions Inc"
"Pieris Pharmaceuticals Inc."
Nordic American Tankers Limited
